Word,Rank,Frequency
judge,912,40
declared,913,40
gentlemen,914,40
warmth,915,40
invited,916,39
observation,917,39
particulars,918,39
terms,919,39
important,920,39
six,921,39
considerable,922,39
hint,923,39
quarter,924,39
papa,925,39
neighbourhood,926,39
suspect,927,39
painful,928,39
miles,929,39
reflection,930,39
couple,931,39
during,932,39
comes,933,39
journey,934,39
sudden,935,39
respectable,936,39
clever,937,39
placed,938,39
suspicion,939,39
";""",940,39
declare,941,39
cousins,942,38
compassion,943,38
hill,944,38
getting,945,38
steele,946,38
vanity,947,38
constant,948,38
.',949,38
fortnight,950,38
rooms,951,38
warmly,952,38
income,953,38
summer,954,38
hurry,955,38
standing,956,38
considering,957,38
proved,958,38
above,959,38
liked,960,38
surprised,961,38
hayter,962,38
importance,963,38
earnest,964,37
nearly,965,37
melancholy,966,37
necessity,967,37
ideas,968,37
sigh,969,37
hall,970,37
complete,971,37
surprize,972,37
stood,973,37
listen,974,37
wallis,975,37
paid,976,37
thinks,977,37
scheme,978,37
cause,979,37
telling,980,37
"),",981,37
try,982,37
simple,983,37
dine,984,37
reasonable,985,37
pause,986,37
severe,987,37
suffer,988,37
stand,989,37
humour,990,37
stopped,991,37
latter,992,37
imagined,993,37
recollect,994,37
approbation,995,36
dance,996,36
concerned,997,36
play,998,36
desirable,999,36
intelligence,1000,36
reply,1001,36
fully,1002,36
opened,1003,36
intended,1004,36
drew,1005,36
thoroughly,1006,36
thrown,1007,36
confess,1008,36
speech,1009,36
angry,1010,36
margaret,1011,36
encouragement,1012,36
enscombe,1013,36
minute,1014,36
opinions,1015,36
credit,1016,36
dashwoods,1017,36
ball,1018,35
exertion,1019,35
seat,1020,35
presently,1021,35
sea,1022,35
express,1023,35
tenderness,1024,35
wrote,1025,35
solicitude,1026,35
recollection,1027,35
increased,1028,35
".""--",1029,35
mere,1030,35
laughed,1031,35
absence,1032,35
astonishment,1033,34
growing,1034,34
smiled,1035,34
hold,1036,34
close,1037,34
tired,1038,34
strength,1039,34
useful,1040,34
death,1041,34
clear,1042,34
plain,1043,34
sad,1044,34
receive,1045,34
affair,1046,34
assistance,1047,34
desire,1048,34
bringing,1049,34
card,1050,34
civil,1051,34
history,1052,34
burst,1053,34
instrument,1054,34
around,1055,34
safely,1056,34
forgotten,1057,34
fresh,1058,34
acknowledge,1059,34
civility,1060,34
affectionate,1061,34
fire,1062,34
happen,1063,34
laughing,1064,33
sooner,1065,33
following,1066,33
several,1067,33
hair,1068,33
boy,1069,33
relief,1070,33
act,1071,33
naturally,1072,33
youth,1073,33
single,1074,33
drawn,1075,33
unfortunate,1076,33
inquiry,1077,33
attend,1078,33
passing,1079,33
receiving,1080,33
attended,1081,33
fortunate,1082,33
capable,1083,33
folly,1084,33
liberty,1085,33
consent,1086,33
tears,1087,33
attending,1088,33
shepherd,1089,32
acknowledged,1090,32
address,1091,32
exclaimed,1092,32
story,1093,32
recovered,1094,32
views,1095,32
public,1096,32
surprized,1097,32
anybody,1098,32
friendly,1099,32
utmost,1100,32
"""--",1101,32
escape,1102,32
emotion,1103,32
seven,1104,32
yours,1105,32
explanation,1106,32
nay,1107,32
education,1108,32
dislike,1109,32
likewise,1110,32
prospect,1111,32
grateful,1112,32
rate,1113,32
deserve,1114,32
grove,1115,32
fit,1116,32
comprehend,1117,32
expressed,1118,32
eagerly,1119,32
soul,1120,32
begun,1121,31
aye,1122,31
evident,1123,31
persuasion,1124,31
intimate,1125,31
makes,1126,31
mistress,1127,31
composure,1128,31
overcome,1129,31
judged,1130,31
maple,1131,31
assist,1132,31
private,1133,31
abbey,1134,31
occupied,1135,31
thirty,1136,31
mistake,1137,31
slight,1138,31
light,1139,31
move,1140,31
chuse,1141,31
fell,1142,31
quitted,1143,31
glance,1144,31
admitted,1145,31
merit,1146,31
recommend,1147,31
feared,1148,31
introduced,1149,31
gentle,1150,31
lose,1151,30
prepared,1152,30
delaford,1153,30
road,1154,30
rational,1155,30
wretched,1156,30
tender,1157,30
dearest,1158,30
material,1159,30
beg,1160,30
earnestly,1161,30
afford,1162,30
seriously,1163,30
increase,1164,30
interested,1165,30
parted,1166,30
inferior,1167,30
steeles,1168,30
arm,1169,30
objection,1170,30
lively,1171,30
leisure,1172,30
comparison,1173,30
spring,1174,30
winter,1175,30
laugh,1176,30
busy,1177,30
hard,1178,30
persuade,1179,30
connexion,1180,30
delicacy,1181,30
reading,1182,30
expression,1183,30
school,1184,30
charge,1185,29
possibly,1186,29
eight,1187,29
william,1188,29
hearted,1189,29
secure,1190,29
property,1191,29
post,1192,29
removed,1193,29
confusion,1194,29
totally,1195,29
camden,1196,29
habit,1197,29
support,1198,29
cut,1199,29
astonished,1200,29
venture,1201,29
",""--",1202,29
fault,1203,29
shewed,1204,29
profession,1205,29
"!""--",1206,29
settle,1207,29
possibility,1208,29
line,1209,29
follow,1210,29
prevented,1211,29
fancied,1212,29
servants,1213,29
advice,1214,29
piece,1215,29
estate,1216,29
ground,1217,28
compliments,1218,28
twice,1219,28
run,1220,28
calm,1221,28
carried,1222,28
dalrymple,1223,28
inconvenience,1224,28
worst,1225,28
god,1226,28
imagination,1227,28
pianoforte,1228,28
nice,1229,28
truly,1230,28
cheerfulness,1231,28
consolation,1232,28
illness,1233,28
henry,1234,28
matters,1235,28
fears,1236,28
box,1237,28
arrangement,1238,28
entrance,1239,28
agree,1240,28
probability,1241,28
circle,1242,28
contrary,1243,28
sound,1244,28
happily,1245,28
undoubtedly,1246,28
maid,1247,28
claim,1248,28
garden,1249,27
grave,1250,27
book,1251,27
choice,1252,27
motive,1253,27
amused,1254,27
instant,1255,27
conscious,1256,27
dining,1257,27
personal,1258,27
spare,1259,27
order,1260,27
crown,1261,27
regular,1262,27
cleveland,1263,27
proceeded,1264,27
politeness,1265,27
parting,1266,27
impatient,1267,27
stop,1268,27
stairs,1269,27
along,1270,27
communication,1271,27
lines,1272,27
conscience,1273,27
office,1274,27
ended,1275,27
sufficient,1276,27
propriety,1277,27
accept,1278,27
calmness,1279,27
blush,1280,27
trust,1281,27
month,1282,27
reproach,1283,27
caution,1284,27
sentiments,1285,27
shut,1286,27
connection,1287,27
employment,1288,27
unable,1289,27
removal,1290,27
chair,1291,27
direction,1292,27
deep,1293,27
borne,1294,27
lucky,1295,26
admired,1296,26
ourselves,1297,26
arranged,1298,26
finished,1299,26
dared,1300,26
enter,1301,26
parlour,1302,26
disagreeable,1303,26
eagerness,1304,26
engagements,1305,26
suspected,1306,26
domestic,1307,26
devonshire,1308,26
putting,1309,26
sick,1310,26
affections,1311,26
neighbours,1312,26
description,1313,26
proud,1314,26
everybody,1315,26
perceive,1316,26
campbells,1317,26
blessing,1318,26
admire,1319,26
excessively,1320,26
books,1321,26
peace,1322,26
pardon,1323,26
evidently,1324,26
clock,1325,26
unpleasant,1326,26
james,1327,26
mutual,1328,26
improved,1329,25
greatly,1330,25
perceived,1331,25
visits,1332,25
tolerably,1333,25
sensations,1334,25
relations,1335,25
heavy,1336,25
sending,1337,25
paper,1338,25
unwilling,1339,25
infinitely,1340,25
continual,1341,25
properly,1342,25
fall,1343,25
anywhere,1344,25
proposed,1345,25
informed,1346,25
nonsense,1347,25
complexion,1348,25
shewn,1349,25
proceed,1350,25
willing,1351,25
enjoy,1352,25
language,1353,25
affected,1354,25
number,1355,25
grounds,1356,25
setting,1357,25
remembrance,1358,25
improvement,1359,25
engage,1360,25
admit,1361,25
deserved,1362,25
draw,1363,25
distant,1364,25
employed,1365,25
hurried,1366,25
ways,1367,24
companions,1368,24
sunk,1369,24
worthy,1370,24
crofts,1371,24
_she_,1372,24
somebody,1373,24
listening,1374,24
exercise,1375,24
smiles,1376,24
success,1377,24
subjects,1378,24
suit,1379,24
interrupted,1380,24
held,1381,24
intercourse,1382,24
lay,1383,24
observing,1384,24
pressed,1385,24
excepting,1386,24
convince,1387,24
unnecessary,1388,24
boys,1389,24
highest,1390,24
report,1391,24
gained,1392,24
suddenly,1393,24
probable,1394,24
united,1395,24
spot,1396,24
esteem,1397,24
niece,1398,24
add,1399,24
differently,1400,24
opening,1401,24
succeeded,1402,24
dress,1403,24
possession,1404,24
raise,1405,24
charlotte,1406,24
favourable,1407,24
independence,1408,24
england,1409,24
catch,1410,24
altered,1411,24
ceased,1412,24
miserable,1413,24
induced,1414,23
readily,1415,23
selfish,1416,23
frequently,1417,23
reach,1418,23
recommended,1419,23
offence,1420,23
secured,1421,23
occur,1422,23
nurse,1423,23
wholly,1424,23
produce,1425,23
presence,1426,23
discourse,1427,23
attentive,1428,23
drive,1429,23
o,1430,23
gay,1431,23
likeness,1432,23
moved,1433,23
madam,1434,23
raised,1435,23
steady,1436,23
powers,1437,23
laid,1438,23
confined,1439,23
frederick,1440,23
rose,1441,23
endeavour,1442,23
indulgence,1443,23
closed,1444,23
seated,1445,23
supposing,1446,23
rank,1447,23
offered,1448,23
fast,1449,23
supply,1450,23
deceived,1451,23
passage,1452,23
points,1453,23
charm,1454,23
happier,1455,23
cure,1456,23
abroad,1457,22
reserve,1458,22
pretend,1459,22
watched,1460,22
tolerable,1461,22
connected,1462,22
satisfy,1463,22
assurance,1464,22
impression,1465,22
treated,1466,22
direct,1467,22
message,1468,22
quit,1469,22
restored,1470,22
superiority,1471,22
spared,1472,22
concerns,1473,22
suspense,1474,22
visited,1475,22
felicity,1476,22
expecting,1477,22
remaining,1478,22
village,1479,22
prove,1480,22
broken,1481,22
dependence,1482,22
eltons,1483,22
harm,1484,22
habits,1485,22
families,1486,22
behaved,1487,22
eat,1488,22
addition,1489,22
changed,1490,22
hastily,1491,22
delicate,1492,22
natured,1493,22
opposition,1494,22
encouraging,1495,22
forth,1496,22
lives,1497,22
size,1498,22
expense,1499,22
established,1500,22
quietly,1501,22
inquiries,1502,22
figure,1503,22
patience,1504,22
entering,1505,22
touch,1506,21
charade,1507,21
affliction,1508,21
dull,1509,21
merits,1510,21
features,1511,21
free,1512,21
length,1513,21
lead,1514,21
d,1515,21
deeply,1516,21
humoured,1517,21
active,1518,21
watch,1519,21
indignation,1520,21
scruple,1521,21
seldom,1522,21
concert,1523,21
persons,1524,21
master,1525,21
grew,1526,21
rendered,1527,21
depended,1528,21
fix,1529,21
stronger,1530,21
shame,1531,21
waited,1532,21
sincere,1533,21
begged,1534,21
luck,1535,21
human,1536,21
chose,1537,21
related,1538,21
uneasiness,1539,21
ran,1540,21
objects,1541,21
_her_,1542,21
collected,1543,21
advantages,1544,20
heartily,1545,20
mile,1546,20
refuse,1547,20
remarkably,1548,20
horse,1549,20
buildings,1550,20
relation,1551,20
refused,1552,20
hints,1553,20
dread,1554,20
doors,1555,20
questions,1556,20
fancying,1557,20
becoming,1558,20
wedding,1559,20
grown,1560,20
separate,1561,20
frequent,1562,20
inn,1563,20
lovely,1564,20
result,1565,20
apology,1566,20
performance,1567,20
intention,1568,20
nervous,1569,20
dangerous,1570,20
valuable,1571,20
gratified,1572,20
advise,1573,20
acting,1574,20
sentiment,1575,20
daily,1576,20
fortitude,1577,20
earlier,1578,20
sensibility,1579,20
wit,1580,20
gradually,1581,20
asking,1582,20
resentment,1583,20
furniture,1584,20
accepted,1585,20
grief,1586,20
